0.62956,0.0088079,0.29728,0.49228,0.022777,0.29675,0.72665
0.49536,0.10406,0.43004,0.21815,0.1567,0.5122,0.62918
0.30411,0.16243,0.18452,0.39575,0.014819,0.23374,0.64732
0.53835,0.087874,0.45618,0.22587,0.14352,0.49797,0.59824
0.59701,0.025604,0.30359,0.51834,0.032656,0.2439,0.71852
0.54317,0.010242,0.2081,0.47104,0.029363,0.41463,0.76771
0.60987,0.016592,0.2491,0.53668,0.026345,0.41057,0.72386
0.46442,0.055305,0.27832,0.48263,0.03101,0.33943,0.74642
0.54438,0.12044,0.32599,0.2471,0.095499,0.67276,0.62418
0.043352,0.30377,0.27473,0.28378,0.034029,0.12602,0.39621
